# ================================================================================
# Sentiment Analysis Dataset - Main Data File (CSV Format)
# 
# Project: Sentiment Analysis Dataset
# Description: Text sentiment analysis dataset with labeled reviews, comments,
#              and social media posts for sentiment classification models.
# Category: Text Data
# Difficulty: Intermediate
# 
# Author: Molla Samser (Founder)
# Designer & Tester: Rima Khatun
# Website: https://rskworld.in
# Email: help@rskworld.in | support@rskworld.in
# Phone: +91 93305 39277
# 
# © 2026 RSK World - Free Programming Resources & Source Code
# All rights reserved.
# ================================================================================

id,text,sentiment,source,date
14,"Received my order yesterday. First impressions are neither good nor bad. Will need more time to form a complete opinion.",neutral,Social Media,2026-01-28
15,"Don't waste your money on this garbage! Poor quality materials, horrible design, and falls apart after first use. Total scam!",negative,Product Review,2026-01-29
16,"Amazing quality and fast delivery. The product looks even better in person than in the photos. Exceeded my expectations!",positive,Product Review,2026-01-30
17,"It's an average product. Does what it's supposed to do but nothing more. No complaints but no praises either.",neutral,Customer Feedback,2026-01-31
18,"Horrible experience from start to finish. The product is a complete failure and the company refuses to acknowledge issues.",negative,Social Media,2026-02-01
19,"Best thing I've bought online! Super impressed with the quality. Already ordered two more for gifts. Highly recommend!",positive,Social Media,2026-02-02
20,"Package arrived in good condition. The item seems okay. Will test it more before giving a final verdict.",neutral,Product Review,2026-02-03
21,"Avoid this product at all costs! It stopped working after just one week. Customer support is non-existent.",negative,Customer Feedback,2026-02-04
22,"Wow! Just wow! This exceeded every expectation I had. Worth every penny and more. Thank you for this amazing product!",positive,Product Review,2026-02-05
23,"Standard shipping, standard product, standard everything. Nothing stood out positively or negatively about this purchase.",neutral,Social Media,2026-02-06
24,"Extremely disappointed. False advertising and poor quality. Demanded refund but got no response. Stay away!",negative,Product Review,2026-02-07
25,"I can't believe how good this is! My whole family loves it. Best decision we made this month.",positive,Customer Feedback,2026-02-08
26,"The product arrived on time. Packaging was adequate. Performance is exactly as described - nothing more, nothing less.",neutral,Product Review,2026-02-09
27,"Total rip-off! The quality is nowhere near what was promised. Feeling completely cheated by this purchase.",negative,Social Media,2026-02-10
28,"Outstanding! This has become an essential part of my daily life. Can't imagine going back to what I used before.",positive,Social Media,2026-02-11
29,"It works. That's about all I can say. Not impressed but not disappointed either. Just a regular product.",neutral,Customer Feedback,2026-02-12
30,"Save your money and buy something else. This product is a joke. Worst purchase I've ever made online.",negative,Product Review,2026-02-13
31,"Life-changing product! I've already recommended it to all my friends and colleagues. Simply the best out there.",positive,Product Review,2026-02-14
32,"Decent quality for the price. Does the basic functions well. Might consider buying again in the future.",neutral,Social Media,2026-02-15
33,"Absolutely terrible! Broke within days of purchase. No warranty support. Complete waste of time and money.",negative,Customer Feedback,2026-02-16
34,"Perfect in every way! From ordering to delivery to the product itself - everything was flawless. 10/10!",positive,Customer Feedback,2026-02-17
35,"Mixed feelings about this purchase. Some features are good, others not so much. Overall, it's just okay.",neutral,Product Review,2026-02-18
36,"Regret buying this. The reviews were misleading and the product quality is subpar. Very disappointed.",negative,Social Media,2026-02-19
37,"Exceeded expectations! The quality is superb and the price was very reasonable. Already planning my next purchase.",positive,Social Media,2026-02-20
38,"Nothing special about this product. It's functional but unremarkable. Average across all aspects.",neutral,Customer Feedback,2026-02-21
39,"Complete disaster! Product arrived late, damaged, and different from description. Absolute nightmare experience.",negative,Product Review,2026-02-22
40,"Fantastic product! My friends were so impressed they all ordered one too. Couldn't be happier with this purchase!",positive,Product Review,2026-02-23
41,"Adequate for basic needs. Won't wow you but won't let you down either. Fair deal for the money.",neutral,Social Media,2026-02-24
42,"Horrible quality control! Every unit I received had defects. Finally gave up and demanded a full refund.",negative,Customer Feedback,2026-02-25
43,"This is everything I hoped for and more! Beautifully designed, perfectly functional, absolutely love it!",positive,Customer Feedback,2026-02-26
44,"Product is okay. Nothing wrong with it per se, just doesn't stand out from the competition in any way.",neutral,Product Review,2026-02-27
45,"Never again! This company has lost all credibility with me. Product failed, support failed, everything failed.",negative,Social Media,2026-02-28
46,"Brilliant! Such attention to detail and quality craftsmanship. A true gem among similar products.",positive,Product Review,2026-03-01
47,"Got what I paid for. No surprises, good or bad. Standard experience with a standard product.",neutral,Customer Feedback,2026-03-02
48,"Disappointed beyond words. Such high hopes based on the marketing, but reality was very different.",negative,Product Review,2026-03-03
49,"Simply phenomenal! This has improved my life in ways I didn't expect. Worth every single penny!",positive,Social Media,2026-03-04
50,"Middle of the road product. Neither excited nor upset about this purchase. It serves its purpose.",neutral,Social Media,2026-03-05

